NANOMETERS	REFLECTANCE
2000.0000	5.35
1998.0000	7.668
1996.0000	10.086
1994.0000	8.559
1992.0000	5.733
1990.0000	8.554
1988.0000	9.608
1986.0000	9.626
1984.0000	8.369
1982.0000	7.332
1980.0000	7.42
1978.0000	8.168
1976.0000	11.842
1974.0000	9.93
1972.0000	7.342
1970.0000	7.168
1968.0000	8.529
1966.0000	7.788
1964.0000	5.948
1962.0000	7.01
1960.0000	6.083
1958.0000	6.334
1956.0000	10.056
1954.0000	7.965
1952.0000	12.441
1950.0000	8.325
1948.0000	11.235
1946.0000	5.243
1944.0000	7.866
1942.0000	6.561
1940.0000	10.334
1938.0000	7.997
1936.0000	8.151
1934.0000	4.176
1932.0000	11.214
1930.0000	7.054
1928.0000	5.285
1926.0000	7.72
1924.0000	8.993
1922.0000	6.832
1920.0000	3.131
1918.0000	5.93
1916.0000	6.397
1914.0000	9.831
1912.0000	7.654
1910.0000	8.347
1908.0000	10.11
1906.0000	8.037
1904.0000	9.162
1902.0000	7.264
1900.0000	6.941
1898.0000	8.524
1896.0000	6.615
1894.0000	7.503
1892.0000	5.81
1890.0000	8.041
1888.0000	8.16
1886.0000	8.665
1884.0000	10.683
1882.0000	8.041
1880.0000	7.598
1878.0000	7.293
1876.0000	5.49
1874.0000	6.159
1872.0000	9.382
1870.0000	7.485
1868.0000	8.952
1866.0000	4.506
1864.0000	9.772
1862.0000	9.862
1860.0000	6.583
1858.0000	8.196
1856.0000	7.364
1854.0000	9.782
1852.0000	8.517
1850.0000	7.024
1848.0000	5.954
1846.0000	7.077
1844.0000	9.442
1842.0000	7.749
1840.0000	7.668
1838.0000	6.634
1836.0000	6.277
1834.0000	8.194
1832.0000	9.184
1830.0000	8.73
1828.0000	6.482
1826.0000	10.006
1824.0000	8.615
1822.0000	9.346
1820.0000	7.161
1818.0000	6.274
1816.0000	7.859
1814.0000	7.175
1812.0000	8.33
1810.0000	8.742
1808.0000	10.55
1806.0000	9.542
1804.0000	8.559
1802.0000	9.623
1800.0000	7.806
1798.0000	9.273
1796.0000	9.332
1794.0000	10.05
1792.0000	8.967
1790.0000	8.542
1788.0000	8.289
1786.0000	9.822
1784.0000	6.78
1782.0000	8.811
1780.0000	9.149
1778.0000	8.368
1776.0000	9.322
1774.0000	8.282
1772.0000	9.66
1770.0000	9.834
1768.0000	9.196
1766.0000	9.908
1764.0000	9.967
1762.0000	9.539
1760.0000	9.575
1758.0000	9.362
1756.0000	9.692
1754.0000	9.052
1752.0000	8.677
1750.0000	8.73
1748.0000	8.262
1746.0000	8.429
1744.0000	8.02
1742.0000	8.762
1740.0000	8.918
1738.0000	7.878
1736.0000	7.75
1734.0000	9.731
1732.0000	9.572
1730.0000	9.21
1728.0000	8.983
1726.0000	8.721
1724.0000	8.355
1722.0000	8.85
1720.0000	7.576
1718.0000	8.728
1716.0000	8.376
1714.0000	8.439
1712.0000	7.503
1710.0000	8.846
1708.0000	9.11
1706.0000	9.227
1704.0000	7.298
1702.0000	8.35
1700.0000	7.927
1698.0000	6.867
1696.0000	7.869
1694.0000	7.95
1692.0000	7.421
1690.0000	8.077
1688.0000	7.857
1686.0000	8.314
1684.0000	9.047
1682.0000	7.267
1680.0000	7.456
1678.0000	7.126
1676.0000	8.118
1674.0000	8.239
1672.0000	8.033
1670.0000	7.325
1668.0000	7.732
1666.0000	8.123
1664.0000	8.361
1662.0000	7.602
1660.0000	7.496
1658.0000	7.011
1656.0000	7.123
1654.0000	6.917
1652.0000	7.267
1650.0000	7.3
1648.0000	6.595
1646.0000	6.296
1644.0000	7.539
1642.0000	6.174
1640.0000	7.033
1638.0000	6.869
1636.0000	6.313
1634.0000	6.993
1632.0000	6.239
1630.0000	5.351
1628.0000	7.512
1626.0000	7.626
1624.0000	6.804
1622.0000	7.803
1620.0000	6.013
1618.0000	6.075
1616.0000	7.28
1614.0000	5.913
1612.0000	6.327
1610.0000	7.757
1608.0000	6.415
1606.0000	7.018
1604.0000	6.171
1602.0000	7.87
1600.0000	7.228
1598.0000	6.905
1596.0000	6.346
1594.0000	5.675
1592.0000	6.378
1590.0000	6.505
1588.0000	5.861
1586.0000	6.616
1584.0000	5.449
1582.0000	7.659
1580.0000	6.54
1578.0000	6.454
1576.0000	5.186
1574.0000	7.06
1572.0000	6.24
1570.0000	6.247
1568.0000	7.264
1566.0000	7.306
1564.0000	7.002
1562.0000	7.433
1560.0000	6.299
1558.0000	7.329
1556.0000	5.56
1554.0000	6.572
1552.0000	6.758
1550.0000	5.828
1548.0000	6.1
1546.0000	6.103
1544.0000	5.909
1542.0000	6.803
1540.0000	7.358
1538.0000	6.252
1536.0000	6.5
1534.0000	7.027
1532.0000	6.378
1530.0000	6.176
1528.0000	7.55
1526.0000	6.474
1524.0000	6.189
1522.0000	6.996
1520.0000	6.075
1518.0000	6.055
1516.0000	5.982
1514.0000	6.308
1512.0000	6.256
1510.0000	5.964
1508.0000	5.894
1506.0000	7.81
1504.0000	7.09
1502.0000	6.32
1500.0000	6.085
1498.0000	6.042
1496.0000	5.546
1494.0000	6.929
1492.0000	6.393
1490.0000	6.021
1488.0000	6.715
1486.0000	5.767
1484.0000	5.455
1482.0000	5.65
1480.0000	5.809
1478.0000	6.566
1476.0000	6.473
1474.0000	6.146
1472.0000	5.741
1470.0000	6.381
1468.0000	5.187
1466.0000	6.56
1464.0000	6.224
1462.0000	5.921
1460.0000	6.018
1458.0000	5.396
1456.0000	6.546
1454.0000	6.725
1452.0000	5.641
1450.0000	6.34
1448.0000	6.401
1446.0000	6.765
1444.0000	6.573
1442.0000	6.922
1440.0000	6.509
1438.0000	6.659
1436.0000	6.389
1434.0000	5.952
1432.0000	6.913
1430.0000	5.919
1428.0000	6.493
1426.0000	5.507
1424.0000	6.754
1422.0000	6.247
1420.0000	7.32
1418.0000	6.949
1416.0000	6.503
1414.0000	6.559
1412.0000	6.519
1410.0000	6.848
1408.0000	6.607
1406.0000	7.028
1404.0000	6.593
1402.0000	6.789
1400.0000	6.466
1398.0000	6.712
1396.0000	6.733
1394.0000	5.796
1392.0000	6.814
1390.0000	6.905
1388.0000	6.747
1386.0000	6.899
1384.0000	6.543
1382.0000	7.159
1380.0000	6.747
1378.0000	6.694
1376.0000	6.494
1374.0000	6.962
1372.0000	6.425
1370.0000	6.587
1368.0000	7.052
1366.0000	6.226
1364.0000	6.605
1362.0000	6.901
1360.0000	6.829
1358.0000	8.005
1356.0000	6.688
1354.0000	7.615
1352.0000	7.188
1350.0000	7.549
1348.0000	7.365
1346.0000	7.535
1344.0000	7.377
1342.0000	7.905
1340.0000	6.835
1338.0000	7.62
1336.0000	7.48
1334.0000	7.427
1332.0000	7.59
1330.0000	6.874
1328.0000	7.839
1326.0000	7.985
1324.0000	7.791
1322.0000	8.166
1320.0000	8.003
1318.0000	8.041
1316.0000	7.754
1314.0000	8.422
1312.0000	8.295
1310.0000	8.478
1308.0000	8.094
1306.0000	8.13
1304.0000	8.457
1302.0000	8.728
1300.0000	8.53
1298.0000	8.071
1296.0000	7.974
1294.0000	7.671
1292.0000	8.338
1290.0000	8.394
1288.0000	8.516
1286.0000	8.427
1284.0000	9.041
1282.0000	9.365
1280.0000	8.868
1278.0000	8.972
1276.0000	9.024
1274.0000	9.039
1272.0000	9.107
1270.0000	9.492
1268.0000	9.356
1266.0000	9.584
1264.0000	9.362
1262.0000	9.412
1260.0000	9.588
1258.0000	9.696
1256.0000	9.606
1254.0000	9.632
1252.0000	9.469
1250.0000	9.755
1248.0000	9.882
1246.0000	9.488
1244.0000	10.372
1242.0000	10.075
1240.0000	10.264
1238.0000	10.384
1236.0000	10.406
1234.0000	10.589
1232.0000	10.677
1230.0000	10.42
1228.0000	10.682
1226.0000	10.889
1224.0000	10.843
1222.0000	11.08
1220.0000	11.203
1218.0000	11.243
1216.0000	11.274
1214.0000	11.136
1212.0000	11.255
1210.0000	11.216
1208.0000	11.535
1206.0000	11.448
1204.0000	11.605
1202.0000	12.089
1200.0000	12.172
1198.0000	11.994
1196.0000	11.992
1194.0000	12.01
1192.0000	11.88
1190.0000	12.241
1188.0000	12.342
1186.0000	12.496
1184.0000	12.693
1182.0000	12.586
1180.0000	12.72
1178.0000	12.716
1176.0000	12.653
1174.0000	12.724
1172.0000	12.825
1170.0000	13.622
1168.0000	13.172
1166.0000	13.19
1164.0000	13.423
1162.0000	13.571
1160.0000	13.846
1158.0000	13.524
1156.0000	14.234
1154.0000	13.938
1152.0000	13.639
1150.0000	14.213
1148.0000	14.402
1146.0000	14.277
1144.0000	14.151
1142.0000	14.514
1140.0000	14.635
1138.0000	14.504
1136.0000	14.531
1134.0000	14.714
1132.0000	14.766
1130.0000	15.074
1128.0000	14.959
1126.0000	15.246
1124.0000	15.313
1122.0000	15.428
1120.0000	15.261
1118.0000	15.454
1116.0000	15.416
1114.0000	15.894
1112.0000	15.796
1110.0000	15.788
1108.0000	16.06
1106.0000	16.319
1104.0000	15.779
1102.0000	16.285
1100.0000	16.911
1098.0000	16.325
1096.0000	16.781
1094.0000	16.68
1092.0000	16.645
1090.0000	16.692
1088.0000	16.836
1086.0000	16.946
1084.0000	16.831
1082.0000	17.133
1080.0000	17.126
1078.0000	17.097
1076.0000	17.344
1074.0000	17.28
1072.0000	17.56
1070.0000	17.392
1068.0000	17.473
1066.0000	17.543
1064.0000	17.476
1062.0000	17.679
1060.0000	17.752
1058.0000	17.659
1056.0000	18.091
1054.0000	18.165
1052.0000	17.931
1050.0000	17.954
1048.0000	17.916
1046.0000	17.681
1044.0000	18.142
1042.0000	17.978
1040.0000	18.083
1038.0000	18.417
1036.0000	18.331
1034.0000	18.663
1032.0000	18.427
1030.0000	18.476
1028.0000	18.27
1026.0000	18.171
1024.0000	18.403
1022.0000	18.344
1020.0000	18.512
1018.0000	18.277
1016.0000	18.501
1014.0000	18.898
1012.0000	18.584
1010.0000	18.85
1008.0000	18.376
1006.0000	19.087
1004.0000	18.777
1002.0000	18.817
1000.0000	18.754
998.0000	18.571
996.0000	18.673
994.0000	18.693
992.0000	18.989
990.0000	19.356
988.0000	18.717
986.0000	19.14
984.0000	18.916
982.0000	19.125
980.0000	19.005
978.0000	18.774
976.0000	18.667
974.0000	18.742
972.0000	18.664
970.0000	18.725
968.0000	19.105
966.0000	18.536
964.0000	18.768
962.0000	18.983
960.0000	18.731
958.0000	18.91
956.0000	18.888
954.0000	18.694
952.0000	18.719
950.0000	18.292
948.0000	18.884
946.0000	18.446
944.0000	18.527
942.0000	18.161
940.0000	18.464
938.0000	18.304
936.0000	18.055
934.0000	18.253
932.0000	18.272
930.0000	17.705
928.0000	18.205
926.0000	17.813
924.0000	17.829
922.0000	17.828
920.0000	17.372
918.0000	17.905
916.0000	17.54
914.0000	17.282
912.0000	16.879
910.0000	16.824
908.0000	17.235
906.0000	16.292
904.0000	16.681
902.0000	15.698
900.0000	17.15
898.0000	16.244
896.0000	15.993
894.0000	16.843
892.0000	15.8
890.0000	16.395
888.0000	16.186
886.0000	15.617
884.0000	15.796
882.0000	15.943
880.0000	15.912
878.0000	14.797
876.0000	14.953
874.0000	14.863
872.0000	14.374
870.0000	14.048
868.0000	13.674
866.0000	14.566
864.0000	14.615
862.0000	13.996
860.0000	12.376
858.0000	11.857
856.0000	12.755
854.0000	12.488
852.0000	13.01
850.0000	14.329
848.0000	14.094
846.0000	14.223
844.0000	13.968
842.0000	13.843
840.0000	13.697
838.0000	13.643
836.0000	13.334
834.0000	13.219
832.0000	13.088
830.0000	12.912
828.0000	12.636
826.0000	12.624
824.0000	12.393
822.0000	12.23
820.0000	12.159
818.0000	11.742
816.0000	11.712
814.0000	11.673
812.0000	11.384
810.0000	11.245
808.0000	11.167
806.0000	10.869
804.0000	10.699
802.0000	10.544
800.0000	10.552
798.0000	10.266
796.0000	10.035
794.0000	10.124
792.0000	9.959
790.0000	9.721
788.0000	9.499
786.0000	9.482
784.0000	9.283
782.0000	9.199
780.0000	9.034
778.0000	8.874
776.0000	8.819
774.0000	8.758
772.0000	8.727
770.0000	8.708
768.0000	8.621
766.0000	8.526
764.0000	8.54
762.0000	8.293
760.0000	8.459
758.0000	8.382
756.0000	8.276
754.0000	8.352
752.0000	8.174
750.0000	8.437
748.0000	8.275
746.0000	8.371
744.0000	8.412
742.0000	8.619
740.0000	8.66
738.0000	8.571
736.0000	8.65
734.0000	8.849
732.0000	8.846
730.0000	8.974
728.0000	9.183
726.0000	9.284
724.0000	9.36
722.0000	9.613
720.0000	9.724
718.0000	9.923
716.0000	10.128
714.0000	10.244
712.0000	10.458
710.0000	10.645
708.0000	10.958
706.0000	11.135
704.0000	11.393
702.0000	11.654
700.0000	11.812
698.0000	12.056
696.0000	12.381
694.0000	12.63
692.0000	12.883
690.0000	13.166
688.0000	13.469
686.0000	13.718
684.0000	14.05
682.0000	14.406
680.0000	14.722
678.0000	14.987
676.0000	15.258
674.0000	15.597
672.0000	15.863
670.0000	16.185
668.0000	16.485
666.0000	16.744
664.0000	17.126
662.0000	17.355
660.0000	17.614
658.0000	17.922
656.0000	18.22
654.0000	18.335
652.0000	18.718
650.0000	19.008
648.0000	19.206
646.0000	19.475
644.0000	19.783
642.0000	19.901
640.0000	20.141
638.0000	20.4
636.0000	20.595
634.0000	20.779
632.0000	20.932
630.0000	20.977
628.0000	21.166
626.0000	21.334
624.0000	21.452
622.0000	21.484
620.0000	21.633
618.0000	21.621
616.0000	21.711
614.0000	21.818
612.0000	21.783
610.0000	21.839
608.0000	21.823
606.0000	21.708
604.0000	21.683
602.0000	21.582
600.0000	21.591
598.0000	21.407
596.0000	21.203
594.0000	21.026
592.0000	20.89
590.0000	20.646
588.0000	20.43
586.0000	20.177
584.0000	19.922
582.0000	19.598
580.0000	19.304
578.0000	18.959
576.0000	18.658
574.0000	18.26
572.0000	17.852
570.0000	17.459
568.0000	17.111
566.0000	16.626
564.0000	16.279
562.0000	15.76
560.0000	15.229
558.0000	14.832
556.0000	14.344
554.0000	13.821
552.0000	13.323
550.0000	12.934
548.0000	12.401
546.0000	11.918
544.0000	11.512
542.0000	11.021
540.0000	10.643
538.0000	10.236
536.0000	9.874
534.0000	9.583
532.0000	9.295
530.0000	9.063
528.0000	8.847
526.0000	8.719
524.0000	8.648
522.0000	8.58
520.0000	8.661
518.0000	8.631
516.0000	8.757
514.0000	9.037
512.0000	9.221
510.0000	9.51
508.0000	9.893
506.0000	10.358
504.0000	10.852
502.0000	11.324
500.0000	11.847
498.0000	12.576
496.0000	13.183
494.0000	13.816
492.0000	14.568
490.0000	15.291
488.0000	16.021
486.0000	16.801
484.0000	17.553
482.0000	18.156
480.0000	18.896
478.0000	19.634
476.0000	20.102
474.0000	20.698
472.0000	21.301
470.0000	21.709
468.0000	22.228
466.0000	22.501
464.0000	22.816
462.0000	23.056
460.0000	23.139
458.0000	23.125
456.0000	22.901
454.0000	22.854
452.0000	22.525
450.0000	22.078
448.0000	21.485
446.0000	20.993
444.0000	20.357
442.0000	19.352
440.0000	18.611
438.0000	17.594
436.0000	16.611
434.0000	15.577
432.0000	14.396
430.0000	13.306
428.0000	12.394
426.0000	11.466
424.0000	10.546
422.0000	9.955
420.0000	9.669
418.0000	9.113
416.0000	9.014
414.0000	9.298
412.0000	9.749
410.0000	10.228
408.0000	11.136
406.0000	12.142
404.0000	13.188
402.0000	14.311
400.0000	15.399
398.0000	16.322
396.0000	17.018
394.0000	18.083
392.0000	18.367
390.0000	18.792
388.0000	18.617
386.0000	18.481
384.0000	17.841
382.0000	17.57
380.0000	17.183
378.0000	16.395
376.0000	15.925
374.0000	15.396
372.0000	14.985
370.0000	15.9
368.0000	14.502
366.0000	14.606
364.0000	14.927
362.0000	15.144
360.0000	14.504
358.0000	14.884
356.0000	14.881
354.0000	15.314
352.0000	15.393
350.0000	15.235
348.0000	15.1
346.0000	14.884
344.0000	15.013
342.0000	14.63
340.0000	14.525
338.0000	14.365
336.0000	14.784
334.0000	14.741
332.0000	14.344
330.0000	14.009
328.0000	13.881
326.0000	13.693
324.0000	14.441
322.0000	13.899
320.0000	13.844
318.0000	13.492
316.0000	13.353
314.0000	13.089
312.0000	13.079
310.0000	13.608
308.0000	13.051
306.0000	12.769
304.0000	12.914
302.0000	12.806
300.0000	12.778
298.0000	12.589
296.0000	12.325
294.0000	12.709
292.0000	11.802
290.0000	12.05
288.0000	11.789
286.0000	11.776
284.0000	11.699
282.0000	11.854
280.0000	11.237
278.0000	11.841
276.0000	12.029
274.0000	11.298
272.0000	11.536
270.0000	11.285
268.0000	11.202
266.0000	11.044
264.0000	11.498
262.0000	11.617
260.0000	11.271
258.0000	11.354
256.0000	11.161
254.0000	11.05
252.0000	10.878
250.0000	10.652
248.0000	11.017
246.0000	10.462
244.0000	11.072
242.0000	10.98
240.0000	10.769
238.0000	10.937
236.0000	10.348
234.0000	10.481
232.0000	10.725
230.0000	11.175
228.0000	10.305
226.0000	10.528
224.0000	9.885
222.0000	9.089
220.0000	9.004
