t,y,y_diff
0.0,-1298,
2.083342013925058e-05,-1337,-39.0
4.166684027850116e-05,-1427,-90.0
6.250026041775174e-05,-1518,-91.0
8.333368055700232e-05,-1543,-25.0
0.00010416710069625291,-1614,-71.0
0.00012500052083550347,-1793,-179.0
0.00014583394097475406,-1932,-139.0
0.00016666736111400465,-1977,-45.0
0.00018750078125325523,-2004,-27.0
0.00020833420139250582,-1997,7.0
0.00022916762153175638,-1951,46.0
0.00025000104167100694,-1909,42.0
0.00027083446181025753,-1818,91.0
0.0002916678819495081,-1671,147.0
0.0003125013020887587,-1586,85.0
0.0003333347222280093,-1581,5.0
0.0003541681423672599,-1576,5.0
0.00037500156250651047,-1556,20.0
0.00039583498264576106,-1520,36.0
0.00041666840278501165,-1485,35.0
0.0004375018229242622,-1533,-48.0
0.00045833524306351277,-1648,-115.0
0.00047916866320276335,-1700,-52.0
0.0005000020833420139,-1663,37.0
0.0005208355034812645,-1632,31.0
0.0005416689236205151,-1679,-47.0
0.0005625023437597657,-1777,-98.0
0.0005833357638990162,-1779,-2.0
0.0006041691840382668,-1575,204.0
0.0006250026041775174,-1301,274.0
0.000645836024316768,-1171,130.0
0.0006666694444560186,-1141,30.0
0.0006875028645952692,-1024,117.0
0.0007083362847345198,-816,208.0
0.0007291697048737704,-622,194.0
0.0007500031250130209,-433,189.0
0.0007708365451522715,-253,180.0
0.0007916699652915221,-180,73.0
0.0008125033854307727,-177,3.0
0.0008333368055700233,-110,67.0
0.0008541702257092738,-25,85.0
0.0008750036458485244,-20,5.0
0.0008958370659877749,7,27.0
0.0009166704861270255,169,162.0
0.0009375039062662761,376,207.0
0.0009583373264055267,483,107.0
0.0009791707465447773,523,40.0
0.0010000041666840278,690,167.0
0.0010208375868232785,1046,356.0
0.001041671006962529,1362,316.0
0.0010625044271017796,1472,110.0
0.0010833378472410301,1511,39.0
0.0011041712673802808,1575,64.0
0.0011250046875195313,1615,40.0
0.001145838107658782,1642,27.0
0.0011666715277980325,1610,-32.0
0.0011875049479372832,1425,-185.0
0.0012083383680765337,1236,-189.0
0.0012291717882157843,1212,-24.0
0.0012500052083550348,1247,35.0
0.0012708386284942855,1281,34.0
0.001291672048633536,1403,122.0
0.0013125054687727867,1538,135.0
0.0013333388889120372,1591,53.0
0.0013541723090512877,1661,70.0
0.0013750057291905384,1773,112.0
0.0013958391493297888,1840,67.0
0.0014166725694690395,1876,36.0
0.00143750598960829,1913,37.0
0.0014583394097475407,1950,37.0
0.0014791728298867912,2020,70.0
0.0015000062500260419,2086,66.0
0.0015208396701652924,2078,-8.0
0.001541673090304543,2076,-2.0
0.0015625065104437935,2168,92.0
0.0015833399305830442,2253,85.0
0.0016041733507222947,2269,16.0
0.0016250067708615454,2331,62.0
0.0016458401910007959,2456,125.0
0.0016666736111400466,2533,77.0
0.001687507031279297,2610,77.0
0.0017083404514185475,2777,167.0
0.0017291738715577982,2896,119.0
0.0017500072916970487,2879,-17.0
0.0017708407118362994,2921,42.0
0.0017916741319755499,3049,128.0
0.0018125075521148006,3003,-46.0
0.001833340972254051,2785,-218.0
0.0018541743923933018,2685,-100.0
0.0018750078125325522,2783,98.0
0.001895841232671803,2960,177.0
0.0019166746528110534,3133,173.0
0.0019375080729503041,3223,90.0
0.0019583414930895546,3249,26.0
0.0019791749132288053,3343,94.0
0.0020000083333680556,3509,166.0
0.0020208417535073062,3642,133.0
0.002041675173646557,3715,73.0
0.0020625085937858076,3718,3.0
0.002083342013925058,3642,-76.0
0.0021041754340643086,3571,-71.0
0.0021250088542035593,3551,-20.0
0.00214584227434281,3528,-23.0
0.0021666756944820603,3490,-38.0
0.002187509114621311,3454,-36.0
0.0022083425347605616,3412,-42.0
0.0022291759548998123,3364,-48.0
0.0022500093750390626,3283,-81.0
0.0022708427951783133,3130,-153.0
0.002291676215317564,2967,-163.0
